City,County,Region, Area (sq. mi.) ,Latitude,Longitude, pop2020 ,pop2023,Tier,Growth, Population Density ,Median Household Income,Income Generated (median),Median Age,Bachelors Degree,Graduate Degree,Poverty Rate,Unemployment Rate,Housing Units,Occupied Units,Vacancy Rates,Median Value of Owner-Occupied Units,Total Value of Residential Units
Avon Park,Highlands,Central Florida,10,27.5906,-81.5073,"9,658","9,904",4,0.80%,"1,017","$32,518 ","$156,021,364 ",42,7.00%,4.00%,19.60%,13.70%,"4,798","3,996",17%,"$84,700 ","$338,461,200 "
Azalea Park,Orange,Central Florida,3,28.5543,-81.2995,"14,141","14,615",4,1.10%,"4,790","$52,600 ","$307,762,600 ",35,12.00%,7.00%,13.10%,8.10%,"5,851","5,343",9%,"$200,800 ","$1,072,874,400 "
Bagdad,Santa Rosa,Florida Panhandle,6,30.5842,-87.0449,"4,467","4,680",4,1.50%,738,"$65,887 ","$106,275,731 ",39,21.00%,3.00%,0.00%,1.90%,"1,613","1,481",8%,"$186,100 ","$275,614,100 "
Bal Harbour village,Miami-Dade,South Florida,0,,,,"3,037",4,,"7,924","$81,424 ","$307,294,176 ",54,28%,31%,13.00%,9.50%,"3,774","1,379",63%,"$1,357,500 ","$1,871,992,500 "
Baldwin ,Duval,Northeast Florida,2,,,,"1,687",4,,835,"$45,588 ","$33,735,120 ",42,8%,1%,20.00%,8.60%,740,656,11%,"$98,000 ","$64,288,000 "
Balm,Hillsborough,Suncoast,10,27.753,-82.2895,"6,541","8,065",4,6.70%,802,"$96,406 ","$164,179,418 ",32,21.00%,5.00%,4.30%,3.20%,"1,703","1,592",7%,"$237,800 ","$378,577,600 "
Bardmoor,Pinellas,Suncoast,2,27.8561,-82.7532,"9,852","9,888",4,0.10%,"4,515","$80,828 ","$364,130,140 ",49,25.00%,14.00%,3.90%,2.70%,"4,505","3,946",12%,"$210,600 ","$831,027,600 "
Bartow,Polk,Central Florida,46,27.8868,-81.8218,"19,309","19,912",4,1.00%,431,"$53,593 ","$407,038,835 ",37,16.00%,6.00%,9.40%,3.30%,"7,595","6,572",13%,"$166,400 ","$1,093,580,800 "
Bay Harbor Islands,Miami-Dade,South Florida,0,25.888,-80.1336,"5,922","6,009",4,0.50%,"15,174","$79,824 ","$212,012,544 ",37,26.00%,27.00%,10.60%,4.60%,"2,656","2,173",18%,"$386,300 ","$839,429,900 "
Bay Hill,Orange,Central Florida,2,28.4624,-81.5148,"5,021","5,063",4,0.30%,"2,131","$106,216 ","$201,066,888 ",51,43.00%,19.00%,2.70%,1.50%,"1,893","1,764",7%,"$585,700 ","$1,033,174,800 "
Bay Pines ,Pinellas,Suncoast,1,,,,"2,746",4,,"2,117","$63,056 ","$105,997,136 ",56,22%,9%,5.50%,0.80%,"1,681","1,308",22%,"$227,900 ","$298,093,200 "
Bayonet Point,Pasco,Suncoast,6,28.3247,-82.684,"26,713","27,688",3,1.20%,"4,806","$39,870 ","$553,116,510 ",52,10.00%,5.00%,11.30%,7.70%,"13,873","11,848",15%,"$110,700 ","$1,311,573,600 "
Bayshore Gardens,Manatee,Suncoast,4,27.433,-82.5781,"19,904","20,978",4,1.70%,"5,960","$45,499 ","$454,216,517 ",46,12.00%,6.00%,11.50%,11.60%,"9,983","7,887",21%,"$126,500 ","$997,705,500 "
Beacon Square,Pasco,Suncoast,2,28.2112,-82.7507,"8,320","8,650",4,1.30%,"4,327","$41,782 ","$177,364,590 ",47,10.00%,4.00%,7.70%,5.20%,"4,245","3,153",26%,"$97,300 ","$306,786,900 "
Bear Creek ,Pinellas,Suncoast,0,,,,"2,194",4,,"5,664","$64,028 ","$82,980,288 ",53,30%,13%,3.30%,2.90%,"1,296",951,27%,"$358,400 ","$340,838,400 "
Bee Ridge,Sarasota,Suncoast,4,27.2843,-82.4731,"9,955","10,063",4,0.40%,"2,683","$68,316 ","$354,423,408 ",56,22.00%,13.00%,8.60%,3.10%,"5,188","4,737",9%,"$288,400 ","$1,366,150,800 "
Bellair-Meadowbrook Terrace,Clay,Northeast Florida,4,30.1793,-81.7344,"14,482","14,824",4,0.80%,"3,613","$52,740 ","$334,899,000 ",38,12.00%,5.00%,9.20%,4.70%,"6,350","5,980",6%,"$163,600 ","$978,328,000 "
Belle Glade,Palm Beach,Southeast Florida,7,26.6918,-80.6671,"16,698","16,467",4,-0.50%,"2,318","$32,963 ","$214,688,019 ",34,8.00%,2.00%,30.20%,14.00%,"6,513","5,626",14%,"$119,900 ","$674,557,400 "
Belle Isle,Orange,Central Florida,2,28.4648,-81.3484,"7,032","7,344",4,1.40%,"3,060","$113,309 ","$297,662,743 ",43,34.00%,18.00%,8.50%,2.10%,"2,627","2,447",7%,"$367,500 ","$899,272,500 "
Belleair,Pinellas,Suncoast,2,27.936,-82.8128,"4,273","4,393",4,0.90%,"2,538","$104,969 ","$256,439,267 ",56,35.00%,25.00%,2.50%,2.00%,"2,443","1,910",22%,"$494,600 ","$944,686,000 "
Belleair Beach ,Pinellas,Suncoast,0,,,,"1,522",4,,"3,194","$105,156 ","$115,250,976 ",57,34%,24%,,8.30%,"1,096",681,38%,"$736,600 ","$501,624,600 "
Belleair Bluffs ,Pinellas,Suncoast,0,,,,"2,436",4,,"5,292","$50,250 ","$72,561,000 ",60,19%,17%,12.60%,2.90%,"1,444","1,168",19%,"$298,600 ","$348,764,800 "
Belleview,Marion,Central Florida,4,29.0606,-82.0559,"5,413","5,689",4,1.60%,"1,465","$41,188 ","$106,718,108 ",40,16.00%,7.00%,13.70%,7.10%,"2,591","2,195",15%,"$102,000 ","$223,890,000 "
Bellview,Escambia,Florida Panhandle,12,30.4648,-87.3092,"25,541","26,198",3,0.80%,"2,250","$58,965 ","$593,541,690 ",41,14.00%,4.00%,8.00%,4.30%,"10,066","8,994",11%,"$131,200 ","$1,180,012,800 "
Berkshire Lakes ,Collier,Suncoast,1,,,,"2,403",4,,"3,657","$66,477 ","$98,385,960 ",58,26%,8%,11.30%,3.60%,"1,480","1,177",20%,"$271,900 ","$320,026,300 "
Beverly Hills,Citrus,Central Florida,3,28.9175,-82.4541,"9,961","10,417",4,1.50%,"3,509","$37,728 ","$192,412,800 ",48,5.00%,3.00%,20.90%,9.50%,"5,100","4,473",12%,"$107,800 ","$482,189,400 "
Big Coppitt Key ,Monroe,South Florida,1,,,,"3,147",4,,"2,728","$98,750 ","$143,088,750 ",33,17%,5%,12.90%,3.60%,"1,449","1,047",28%,"$423,600 ","$443,509,200 "
Big Pine Key,Monroe,South Florida,10,24.6851,-81.3625,"4,521","4,602",4,0.60%,451,"$69,792 ","$187,391,520 ",52,18.00%,10.00%,5.90%,2.00%,"2,685","1,873",30%,"$403,200 ","$755,193,600 "
Biscayne Park village,Miami-Dade,South Florida,1,,,,"3,117",4,,"5,030","$65,000 ","$67,405,000 ",33,25%,24%,7.40%,2.00%,"1,037",980,5%,"$516,200 ","$505,876,000 "
Bithlo,Orange,Central Florida,11,28.5819,-81.0921,"9,848","10,322",4,1.60%,947,"$88,623 ","$310,003,254 ",35,19.00%,18.00%,14.90%,3.80%,"3,498","2,970",15%,"$302,900 ","$899,613,000 "
Bloomingdale,Hillsborough,Suncoast,8,27.8767,-82.2614,"22,947","23,019",4,0.10%,"2,830","$95,867 ","$835,001,570 ",41,31.00%,12.00%,2.90%,3.80%,"8,710","8,300",5%,"$282,300 ","$2,343,090,000 "
Blounts ,Calhoun,Florida Panhandle,3,,,,"3,168",4,,994,"$37,083 ","$49,691,220 ",38,8%,5%,3.40%,1.30%,"1,340","1,131",16%,"$109,600 ","$123,957,600 "
Boca Raton,Palm Beach,Southeast Florida,29,26.3727,-80.1037,"97,422","101,331",2,1.30%,"3,473","$89,776 ","$4,500,291,328 ",47,35.00%,23.00%,5.30%,6.30%,"50,128","40,782",19%,"$495,000 ","$20,187,090,000 "
Bokeelia ,Lee,Suncoast,9,,,,"1,815",4,,203,"$58,769 ","$79,925,840 ",60,16%,17%,26.70%,4.40%,"1,360",829,39%,"$236,300 ","$195,892,700 "
Bonifay ,Holmes,Florida Panhandle,5,,,,"2,756",4,,586,"$32,500 ","$43,712,500 ",36,10%,3%,2.40%,12.90%,"1,345","1,110",17%,"$104,300 ","$115,773,000 "
Bonita Springs,Lee,Suncoast,38,26.355,-81.7842,"53,644","56,563",3,1.80%,"1,476","$78,347 ","$2,904,166,596 ",59,22.00%,17.00%,5.50%,3.20%,"37,068","22,830",38%,"$353,800 ","$8,077,254,000 "
Boulevard Gardens ,Broward,Southeast Florida,0,,,,"1,753",4,,"5,063","$17,083 ","$9,395,650 ",31,15%,5%,10.30%,0.00%,550,499,9%,"$225,100 ","$112,324,900 "
Bowling Green ,Hardee,Central Florida,1,,,,"2,516",4,,"1,992","$39,536 ","$37,203,376 ",27,4%,4%,0.00%,8.60%,941,813,14%,"$56,700 ","$46,097,100 "
Boynton Beach,Palm Beach,Southeast Florida,16,26.5283,-80.0807,"80,380","84,028",3,1.50%,"5,203","$60,980 ","$2,350,291,160 ",41,20.00%,9.00%,9.90%,6.70%,"38,542","31,683",18%,"$246,700 ","$7,816,196,100 "
Bradenton,Manatee,Suncoast,14,27.4909,-82.5749,"55,698","57,543",3,1.10%,"4,003","$50,084 ","$1,402,301,916 ",45,17.00%,9.00%,10.90%,6.10%,"27,999","22,023",21%,"$211,200 ","$4,651,257,600 "
Bradfordville,Leon,Florida Panhandle,21,,,,"18,850",4,,890,"$112,254 ","$792,400,986 ",41,37.00%,24.00%,3.60%,2.60%,"7,059","6,828",3%,"$273,000 ","$1,864,044,000 "
Brandon,Hillsborough,Suncoast,33,27.936,-82.2993,"114,626","117,968",2,1.00%,"3,560","$64,401 ","$3,078,432,201 ",37,24.00%,8.00%,8.50%,5.00%,"47,801","44,367",7%,"$224,800 ","$9,973,701,600 "
Brent,Escambia,Florida Panhandle,10,30.4719,-87.2507,"23,447","23,939",4,0.70%,"2,308","$41,291 ","$348,041,839 ",31,10.00%,7.00%,18.50%,7.30%,"8,429","7,381",12%,"$94,700 ","$698,980,700 "
Broadview Park,Broward,Southeast Florida,1,26.0987,-80.2085,"7,670","7,832",4,0.70%,"8,049","$49,971 ","$130,174,455 ",39,9.00%,1.00%,14.50%,6.50%,"2,605","2,506",4%,"$249,800 ","$625,998,800 "
Brookridge,Hernando,Central Florida,3,28.5481,-82.49,"4,658","4,730",4,0.50%,"1,867","$45,802 ","$137,085,386 ",67,9.00%,5.00%,1.70%,2.60%,"2,993","2,367",21%,"$89,100 ","$210,899,700 "
Brooksville,Hernando,Central Florida,11,28.5165,-82.3797,"8,890","9,241",4,1.30%,826,"$35,191 ","$172,928,574 ",51,16.00%,5.00%,11.30%,5.60%,"4,914","4,157",15%,"$67,900 ","$282,260,300 "
Brownsville,Miami-Dade,South Florida,2,25.8216,-80.2418,"16,583","16,964",4,0.80%,"7,440","$30,394 ","$213,274,698 ",35,9.00%,4.00%,31.40%,10.60%,"7,017","6,294",10%,"$229,200 ","$1,442,584,800 "
Buckingham,Lee,Suncoast,18,26.6455,-81.7474,"4,443","4,566",4,0.90%,251,"$98,080 ","$186,450,080 ",50,14.00%,11.00%,5.10%,2.20%,"1,901","1,621",15%,"$297,800 ","$482,733,800 "
Buenaventura Lakes,Osceola,Central Florida,6,28.3334,-81.3522,"30,251","31,502",3,1.30%,"5,649","$54,835 ","$575,328,820 ",36,12.00%,4.00%,7.60%,7.50%,"10,492","9,482",10%,"$217,100 ","$2,058,542,200 "
Bunnell ,Flagler,Northeast Florida,140,,,,"3,203",4,,23,"$30,048 ","$45,462,624 ",41,13%,6%,19.40%,3.00%,"1,513","1,295",14%,"$150,700 ","$195,156,500 "
Burnt Store Marina ,Lee,Suncoast,1,,,,"2,157",4,,"2,026","$90,893 ","$182,967,609 ",73,30%,20%,2.20%,8.00%,"2,013","1,117",45%,"$346,200 ","$386,705,400 "
Bushnell ,Sumter,Central Florida,12,,,,"3,019",4,,243,"$41,731 ","$67,812,875 ",43,8%,2%,7.10%,0.00%,"1,625","1,208",26%,"$81,100 ","$97,968,800 "
Butler Beach,St. Johns,Northeast Florida,3,29.8005,-81.2688,"4,978","4,987",4,0.10%,"1,962","$87,797 ","$411,504,539 ",60,35.00%,16.00%,7.50%,5.60%,"4,687","2,438",48%,"$393,600 ","$959,596,800 "
Cabana Colony ,Palm Beach,Southeast Florida,0,,,,"2,448",4,,"5,710","$80,742 ","$86,959,134 ",34,26%,2%,12.80%,0.90%,"1,077",929,14%,"$249,700 ","$231,971,300 "
Callahan ,Nassau,Northeast Florida,2,,,,"1,637",4,,905,"$67,000 ","$46,565,000 ",38,12%,2%,0.00%,4.90%,695,630,9%,"$189,200 ","$119,196,000 "
Callaway,Bay,Florida Panhandle,9,30.1304,-85.5486,"13,045","12,637",4,-1.10%,"1,342","$55,543 ","$356,474,974 ",40,10.00%,4.00%,7.10%,7.80%,"6,418","5,360",16%,"$162,500 ","$871,000,000 "
Campbell ,Osceola,Central Florida,2,,,,"2,132",4,,"1,133","$35,101 ","$53,458,823 ",65,27%,5%,1.20%,12.50%,"1,523","1,060",30%,--,#VALUE!
Cape Canaveral,Brevard,Northeast Florida,2,28.3932,-80.6048,"9,972","9,990",4,0.10%,"4,496","$58,396 ","$524,571,268 ",59,23.00%,11.00%,6.10%,3.60%,"8,983","5,906",34%,"$270,100 ","$1,595,210,600 "
Cape Coral,Leon,Florida Panhandle,106,26.6432,-81.9974,"194,016","205,929",2,2.00%,"1,944","$65,282 ","$5,922,187,194 ",48,15.00%,8.00%,7.30%,5.10%,"90,717","74,387",18%,"$255,700 ","$19,020,755,900 "
Carrabelle ,Franklin,Florida Panhandle,5,,,,"2,815",4,,588,"$37,105 ","$29,535,580 ",35,5%,1%,6.50%,9.70%,796,490,38%,"$122,500 ","$60,025,000 "
Carrollwood,Hillsborough,Suncoast,9,28.0582,-82.5158,"34,352","34,649",3,0.30%,"3,759","$67,207 ","$1,024,973,957 ",42,28.00%,15.00%,5.50%,6.00%,"15,251","14,575",4%,"$288,300 ","$4,201,972,500 "
Casselberry,Seminole,Central Florida,7,28.6612,-81.3219,"28,794","29,559",3,0.90%,"4,264","$53,150 ","$695,361,450 ",38,22.00%,9.00%,9.60%,3.80%,"13,083","12,356",6%,"$195,800 ","$2,419,304,800 "
Cedar Grove ,Bay,Florida Panhandle,3,,,,"3,431",4,,"1,304","$39,650 ","$58,563,050 ",33,6%,1%,11.50%,1.40%,"1,477","1,363",8%,"$131,600 ","$179,370,800 "
Celebration,Osceola,Central Florida,11,28.3103,-81.5511,"11,178","12,303",4,3.10%,"1,171","$92,110 ","$520,605,720 ",38,35.00%,25.00%,0.30%,5.10%,"5,652","3,946",30%,"$533,700 ","$2,105,980,200 "
Century ,Escambia,Florida Panhandle,3,,,,"1,979",4,,615,"$25,341 ","$24,454,065 ",41,3%,1%,20.40%,8.20%,965,774,20%,"$55,700 ","$43,111,800 "
Charlotte Harbor,Charlotte,Suncoast,2,,,,"4,644",4,,"1,985","$43,013 ","$126,415,207 ",66,19.00%,7.00%,13.50%,5.00%,"2,939","2,146",27%,"$143,700 ","$308,380,200 "
Charlotte Park ,Charlotte,Suncoast,1,,,,"1,913",4,,"1,860","$59,848 ","$90,968,960 ",66,13%,11%,15.20%,3.40%,"1,520",944,38%,"$199,300 ","$188,139,200 "
Chattahoochee ,Gadsden,Florida Panhandle,6,,,,"3,370",4,,602,"$54,100 ","$70,708,700 ",45,7%,5%,4.30%,6.90%,"1,307","1,040",20%,"$64,500 ","$67,080,000 "
Cheval,Hillsborough,Suncoast,6,28.148,-82.5173,"12,522","13,068",4,1.40%,"2,196","$74,983 ","$372,515,544 ",40,30.00%,25.00%,4.20%,5.50%,"4,968","4,853",2%,"$373,000 ","$1,810,169,000 "
Chiefland ,Levy,Northeast Florida,7,,,,"2,152",4,,319,"$27,500 ","$28,297,500 ",36,4%,4%,0.00%,14.10%,"1,029",876,15%,"$112,500 ","$98,550,000 "
Chipley ,Washington,Florida Panhandle,4,,,,"3,599",4,,848,"$35,660 ","$58,375,420 ",33,11%,4%,0.00%,5.90%,"1,637","1,334",19%,"$93,600 ","$124,862,400 "
Chuluota ,Seminole,Central Florida,2,,,,"2,792",4,,"1,368","$85,274 ","$76,831,874 ",33,20%,6%,22.50%,4.20%,901,901,0%,"$303,300 ","$273,273,300 "
Citrus Hills,Citrus,Central Florida,10,28.8868,-82.4307,"9,302","9,851",4,1.90%,"1,016","$69,385 ","$324,513,645 ",68,19.00%,18.00%,4.10%,22.10%,"4,677","3,736",20%,"$283,300 ","$1,058,408,800 "
Citrus Park,Hillsborough,Suncoast,10,28.071,-82.5622,"28,178","29,357",3,1.40%,"2,888","$76,554 ","$875,241,882 ",41,25.00%,14.00%,11.10%,3.60%,"11,433","10,820",5%,"$284,300 ","$3,076,126,000 "
Citrus Springs,Citrus,Central Florida,21,28.9932,-82.4595,"10,246","10,732",4,1.50%,508,"$54,674 ","$236,137,006 ",46,13.00%,3.00%,6.90%,9.00%,"4,319","3,573",17%,"$156,500 ","$559,174,500 "
Clarcona,Orange,Central Florida,4,,,,"47,770",3,,"11,428","$35,234 ","$74,097,102 ",40,13.00%,10.00%,8.80%,3.10%,"2,103","1,782",15%,"$137,000 ","$244,134,000 "
Clearwater,Pinellas,Suncoast,26,27.9803,-82.7682,"117,292","120,175",2,0.80%,"4,608","$54,182 ","$3,271,129,886 ",46,20.00%,12.00%,10.70%,5.70%,"60,373","49,574",18%,"$241,200 ","$11,957,248,800 "
Clermont,Lake,Central Florida,16,28.5464,-81.6792,"43,021","47,305",3,3.10%,"2,970","$69,930 ","$1,226,991,780 ",42,21.00%,12.00%,6.20%,6.00%,"17,546","15,349",13%,"$276,700 ","$4,247,068,300 "
Cleveland ,Charlotte,Suncoast,5,,,,"2,683",4,,511,"$39,710 ","$70,723,510 ",65,12%,8%,8.80%,0.00%,"1,781","1,483",17%,"$96,800 ","$143,554,400 "
Clewiston,Hendry,Suncoast,5,26.7528,-80.9392,"7,327","7,378",4,0.20%,"1,640","$41,125 ","$113,217,125 ",34,7.00%,2.00%,23.10%,6.20%,"2,753","2,528",8%,"$124,300 ","$314,230,400 "
Cocoa,Brevard,Northeast Florida,13,28.3766,-80.7633,"19,041","19,611",4,1.00%,"1,470","$48,085 ","$456,807,500 ",43,15.00%,6.00%,9.70%,4.50%,"9,500","7,877",17%,"$144,900 ","$1,141,377,300 "
Cocoa Beach,Brevard,Northeast Florida,5,28.3291,-80.6275,"11,354","11,390",4,0.10%,"2,445","$73,901 ","$658,162,306 ",58,28.00%,20.00%,5.00%,7.30%,"8,906","5,958",33%,"$350,400 ","$2,087,683,200 "
Cocoa West,Brevard,Northeast Florida,4,28.3595,-80.7713,"5,939","5,942",4,0.00%,"1,648","$29,478 ","$87,372,792 ",42,10.00%,4.00%,33.20%,3.00%,"2,964","2,598",12%,"$116,400 ","$302,407,200 "
Coconut Creek,Broward,Southeast Florida,11,26.2809,-80.1847,"57,833","59,309",3,0.80%,"5,312","$68,024 ","$1,834,879,376 ",41,25.00%,11.00%,6.40%,4.60%,"26,974","23,728",12%,"$216,900 ","$5,146,603,200 "
Combee Settlement,Polk,Central Florida,2,28.0601,-81.9042,"5,911","6,010",4,0.60%,"3,040","$40,804 ","$95,848,596 ",31,1.00%,1.00%,31.50%,7.70%,"2,349","1,878",20%,"$105,600 ","$198,316,800 "
Connerton,Pasco,Suncoast,13,28.3077,-82.4648,"5,282","6,233",4,5.40%,481,"$107,651 ","$137,685,629 ",33,25.00%,14.00%,0.00%,5.00%,"1,279","1,279",0%,"$342,100 ","$437,545,900 "
Conway,Orange,Central Florida,3,28.4969,-81.333,"13,596","13,635",4,0.10%,"3,983","$85,061 ","$461,285,803 ",43,29.00%,11.00%,5.10%,3.60%,"5,423","5,070",7%,"$293,200 ","$1,486,524,000 "
Cooper City,Broward,Southeast Florida,8,26.0481,-80.285,"34,401","36,156",3,1.60%,"4,498","$113,147 ","$1,297,569,796 ",40,28.00%,18.00%,4.00%,4.40%,"11,468","11,072",3%,"$431,200 ","$4,774,246,400 "
Coral Gables,Miami-Dade,South Florida,13,25.6831,-80.2617,"49,248","49,989",3,0.50%,"3,867","$113,623 ","$2,480,844,582 ",40,33.00%,37.00%,3.80%,4.30%,"21,834","18,719",14%,"$867,700 ","$16,242,476,300 "
Coral Springs,Broward,Southeast Florida,23,26.2707,-80.2593,"134,394","138,384",2,1.00%,"6,052","$81,944 ","$3,821,048,720 ",37,24.00%,14.00%,6.80%,6.90%,"46,630","43,913",6%,"$393,300 ","$17,270,982,900 "
Coral Terrace,Miami-Dade,South Florida,3,25.7462,-80.3045,"23,142","22,773",4,-0.50%,"6,778","$67,942 ","$566,840,106 ",45,19.00%,8.00%,8.70%,3.00%,"8,343","7,947",5%,"$390,400 ","$3,102,508,800 "
Cortez,Manatee,Suncoast,3,,,,"5,365",4,,"1,856","$72,642 ","$281,269,824 ",62,28.00%,14.00%,5.80%,9.50%,"3,872","2,411",38%,"$355,200 ","$856,387,200 "
Country Club,Miami-Dade,South Florida,4,25.9395,-80.3092,"49,967","50,825",3,0.60%,"12,177","$56,435 ","$1,069,386,815 ",40,19.00%,8.00%,13.30%,5.60%,"18,949","18,191",4%,"$272,500 ","$4,957,047,500 "
Country Walk,Miami-Dade,South Florida,3,25.6338,-80.4348,"16,951","17,236",4,0.60%,"6,683","$99,587 ","$545,238,825 ",38,21.00%,12.00%,5.90%,4.00%,"5,475","5,339",2%,"$387,900 ","$2,070,998,100 "
Crawfordville,Wakulla,Florida Panhandle,5,30.1996,-84.3634,"4,853","5,198",4,2.30%,"1,138","$86,342 ","$173,374,736 ",42,14.00%,5.00%,0.00%,2.80%,"2,008","1,957",3%,"$196,200 ","$383,963,400 "
Crescent City,Putnam,Northeast Florida,2,,,,"1,891",4,,916,"$33,333 ","$28,799,712 ",40,11%,5%,3.60%,18.50%,864,682,21%,"$146,600 ","$99,981,200 "
Crestview,Okaloosa,Florida Panhandle,16,30.7479,-86.5793,"27,134","28,982",3,2.20%,"1,802","$55,688 ","$624,596,608 ",33,15.00%,8.00%,8.90%,4.40%,"11,216","10,245",9%,"$180,800 ","$1,852,296,000 "
Crooked Lake Park ,Polk,Central Florida,1,,,,"1,911",4,,"2,781","$42,708 ","$33,611,196 ",32,6%,4%,32.30%,6.90%,787,670,15%,"$109,100 ","$73,097,000 "
Cross City ,Dixie,Northeast Florida,2,,,,"2,353",4,,"1,275","$37,372 ","$44,248,448 ",36,8%,1%,31.90%,2.30%,"1,184","1,000",16%,"$82,400 ","$82,400,000 "
Crystal Lake,Polk,Central Florida,3,28.036,-81.8996,"5,768","5,843",4,0.40%,"2,290","$40,253 ","$93,950,502 ",30,8.00%,6.00%,36.30%,9.10%,"2,334","1,906",18%,"$99,200 ","$189,075,200 "
Crystal River ,Citrus,Central Florida,7,,,,"3,291",4,,440,"$31,938 ","$67,516,932 ",61,29%,8%,28.10%,9.10%,"2,114","1,561",26%,"$244,700 ","$381,976,700 "
Cudjoe Key ,Monroe,South Florida,5,,,,"2,315",4,,448,"$89,556 ","$152,513,868 ",53,24%,14%,12.50%,3.90%,"1,703",999,41%,"$575,100 ","$574,524,900 "
Cutler Bay,Miami-Dade,South Florida,10,25.5761,-80.334,"45,425","46,967",3,1.10%,"4,750","$73,075 ","$1,065,433,500 ",40,22.00%,9.00%,10.20%,5.50%,"14,580","13,866",5%,"$327,400 ","$4,539,728,400 "
Cypress Gardens,Polk,Central Florida,3,28.0035,-81.6906,"10,169","10,544",4,1.20%,"3,041","$70,127 ","$298,881,274 ",41,19.00%,10.00%,5.60%,3.00%,"4,262","3,766",12%,"$196,500 ","$740,019,000 "
Cypress Lake,Lee,Suncoast,4,26.5393,-81.8994,"13,727","14,291",4,1.30%,"3,704","$55,601 ","$507,525,928 ",60,26.00%,11.00%,5.30%,2.80%,"9,128","6,467",29%,"$185,100 ","$1,197,041,700 "
